"name","essround","edition","proddate","cntry","idno","intagea","intgndr","resclq","resrelq","resbab","resundq","preintf","prewhp","presd","preppil","preorel","prenrel","predk","prenap","prena","resswcd","vdovexin","vdtpsvin","vdtpitin","vdtpscin","vdtpauin","vdtpviin","vdtpoiin","vdtpntin","vdtpapre","vdtprein","vdtpdkin","vdtpnain","intlnga","intnum"
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11120,63,1,2,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"FRE",375
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11128,51,2,1,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"DUT",3551
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11143,63,1,2,2,5,5,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"DUT",3136
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11154,69,2,1,1,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"DUT",3459
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11156,65,2,2,2,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"DUT",3374
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11174,42,1,2,1,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"FRE",3871
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11175,70,2,2,1,5,5,2,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,1,0,0,0,"DUT",2772
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11177,54,2,1,1,1,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"DUT",2363
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11195,43,1,2,3,4,3,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"FRE",3904
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11218,67,1,1,2,4,5,2,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,1,0,0,0,"DUT",2778
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11220,60,1,4,2,5,4,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"DUT",531
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11222,55,2,1,1,5,4,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"DUT",3039
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",11225,67,1,1,1,5,5,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"DUT",2778
