"Country","COUNTRY","Continent","Region","LifeExpectancy","IMR","Population","AirPollution","HomicidesRate","HealthExp","MedicalDoctors","HospitalBeds","Internet","Literacy","capital","SchoolYears","Unemployment","GDP"
"74","Ghana","GHA","Africa","Sub-Saharan Africa",66.10179,31.60475,30222.262,46.04334,6.10534,3.69936,2.66,6.89517,17.10768,80.379997253418,"Accra",12.1200742721558,3.063,6796.47361923819
"75","Gibraltar","GIB","Europe","Europe & Central Asia",NA,NA,32.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Guinea","GIN","Africa","Sub-Saharan Africa",61.26251,62.22057,12240.789,37.57394,4.46399,3.95848,2.1,3,1.49014,45.3300018310547,"Conakry",6.99361658096313,5.244,3949.34013510824
"77","Guadeloupe","GLP","Americas","Latin America & Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Gambia","GMB","Africa","Sub-Saharan Africa",64.21397,32.83906,2381.182,34.41744,14.71196,3.55907,0.9,11.54961,12.44923,58.6699981689453,"Banjul",9.52009296417236,6.479,2932.28059517915
"79","Guinea-Bissau","GNB","Africa","Sub-Saharan Africa",58.62802,48.5874,1879.826,31.47235,8.99736,8.11358,2.52,10,2.89399,53.9000015258789,"Bissau",NA,2.65,2578.80453427114
"80","Equatorial Guinea","GNQ","Africa","Sub-Saharan Africa",61.60542,55.06022,1450.694,25.44279,1.06843,2.9135,1.53,21,13.94318,94.3705368041992,"Malabo",NA,8.367,15688.2384192658
"81","Greece","GRC","Europe","Europe & Central Asia",79.59785,3.28039,10754.679,15.57882,0.99257,8.49984,65.76,42.38405,56,94,"Athens",13.2888927459717,11.066,36821.2753699812
"82","Grenada","GRD","Americas","Latin America & Caribbean",72.77322,14.44658,120.921,9.83766,6.5974,4.94846,13.83,31.76349,42.09026,98.4000015258789,"Saint George's",13.0994386672974,NA,16946.473156154
"83","Greenland","GRL","Americas","Europe & Central Asia",NA,NA,56.171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68086.4601238175
"84","Guatemala","GTM","Americas","Latin America & Caribbean",68.69574,18.80961,16087.418,19.19072,43.09911,7.44099,12.81,4.37005,16,83.0311737060547,"Guatemala City",9.71248054504395,2.344,12389.385871782
"85","French Guiana","GUF","Americas","Latin America & Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Guam","GUM","Oceania","East Asia & Pacific",NA,NA,168.606,NA,NA,NA,NA,NA,NA,99.5599975585938,"Agana",NA,5.363,NA
"87","Guyana","GUY","Americas","Latin America & Caribbean",66.07775,22.3466,763.252,11.25286,9.89612,3.00637,13.87,25.86484,34.30804,90.0299987792969,"Georgetown",12.2039461135864,12.025,49315.1603107751
"88","Hong Kong SAR China","HKG","Asia","East Asia & Pacific",NA,NA,7393.2,NA,NA,NA,NA,NA,NA,NA,NA,13.5414037704468,2.949,64467.5756817829
"89","Honduras","HND","Americas","Latin America & Caribbean",68.96309,13.76509,9626.842,19.41589,37.14684,8.2821,4.89,6.60904,18.11987,89,"Tegucigalpa",9.59004306793213,6.07,6468.30192068321
"90","Croatia","HRV","Europe","Europe & Central Asia",76.86168,3.88837,4124.531,15.48858,0.87151,7.21545,39.09,55.95248,63,99.4499969482422,"Zagreb",13.390284538269,6.086,41100.2524147116
"91","Haiti","HTI","Americas","Latin America & Caribbean",62.45639,43.96404,10863.543,9.08662,20.68359,3.20849,2.92,47.73328,10.8703,68.0098571777344,"Port-au-Prince",11.3780002593994,14.556,2956.46213701659
"92","Hungary","HUN","Europe","Europe & Central Asia",74.39547,3.32734,9787.966,13.44984,1.71515,6.68982,34.56,68.37844,72,99.0999984741211,"Budapest",12.9565553665161,4.107,40167.9924788499
"93","Indonesia","IDN","Asia","East Asia & Pacific",68.26168,18.13221,264498.852,21.29217,4.28871,2.69395,5.24,13.55948,15.36,96,"Jakarta",12.3883724212647,3.308,13889.8828825663
"94","Isle of Man","IMN","Europe","Europe & Central Asia",NA,NA,83.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","India","IND","Asia","South Asia",67.30781,25.52599,1354195.68,49.95161,5.52825,3.30588,7.23,16.02238,12.58006,77,"New Delhi",11.1249532699585,4.172,9160.06365370888
"96","Ireland","IRL","Europe","Europe & Central Asia",81.60163,2.72927,4807.388,8.65939,0.78196,6.11979,38.75,29.138,79,NA,NA,13.9005393981934,4.288,115401.125283215
"97","Iran","IRN","Asia","Middle East & North Africa",74.71078,10.34664,84505.076,30.78762,1.18963,5.34889,18.11,18.6241,25.99764,88.9599990844727,"Tehran",11.849552154541,9.041,15912.0299184195
"98","Iraq","IRQ","Asia","Middle East & North Africa",71.46632,19.95495,39621.162,37.96536,20.576,4.29332,10.22,13,7.1,86,"Baghdad",6.93192768096924,15.447,12711.0616746745
"99","Iceland","ISL","Europe","Europe & Central Asia",82.57767,2.04733,343.4,6.06578,1.09087,9.28594,43.73,28.33618,96,NA,NA,13.4602708816528,3.518,66880.0658104169
"100","Israel","ISR","Asia","Middle East & North Africa",81.74465,2.71141,8713.3,20.42281,0.67356,7.34162,37.97,30.60654,73.36501,92,"",13.7629480361938,3.596,48356.0899146248
"101","Italy","ITA","Europe","Europe & Central Asia",82.19747,2.23124,60536.709,14.22481,0.91984,9.02753,41.91,31.82339,58,99,"Rome",13.2506809234619,7.627,52588.6899412963
"102","Jamaica","JAM","Americas","Latin America & Caribbean",70.14394,16.08107,2808.376,13.74569,21.27599,7.77706,4.6,16.76631,46.5,80,"Kingston",11.3946399688721,4.4,10291.3126701479
"103","Jordan","JOR","Asia","Middle East & North Africa",75.64974,12.16739,10215.381,25.87215,2.66287,6.8282,28.51,13.75908,41,95,"Amman",11.1438150405884,17.969,9362.58776056423
"104","Japan","JPN","Asia","East Asia & Pacific",84.46067,1.71761,126972,11.32238,0.1829,11.42184,26.49,127.23662,79.05,NA,NA,13.6398515701294,2.6,45948.6761132298
"105","Kazakhstan","KAZ","Asia","Europe & Central Asia",70.27512,8.66289,18037.776,26.50215,8.28372,3.74027,37.54,67.15969,53.31567,99.8000030517578,"Astana",13.7080001831055,4.821,34703.2349286604
