"Country","COUNTRY","Continent","Region","LifeExpectancy","IMR","Population","AirPollution","HomicidesRate","HealthExp","MedicalDoctors","HospitalBeds","Internet","Literacy","capital","SchoolYears","Unemployment","GDP"
"66","Fiji","FJI","Oceania","East Asia & Pacific",67.86709271,17.053988708,928.784,7.36073,2.06690712,3.61524153,4.1,18.810143964,33.74236,NA,NA,11.3332958221435,5.361,13592.4635937435
"67","Falkland Islands","FLK","Americas","Latin America & Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","France","FRA","Europe","Europe & Central Asia",81.87409035,3.379136513,68551.653,10.45709,0.970471151,11.51974583,32.43,63.489435676,83,NA,NA,13.8026580810547,7.4,54799.3482689389
"69","Faroe Islands","FRO","Europe","Europe & Central Asia",NA,NA,54.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72059.580327154
"70","Micronesia (Federated States of)","FSM","Oceania","East Asia & Pacific",65.67162273,28.886298909,113.16,7.78563,4.79597955,12.88087559,6.67,32.231772377,25.97442,NA,NA,11.8226890563965,NA,3824.1523439548
"71","Gabon","GAB","Africa","Sub-Saharan Africa",65.09380891,32.279608465,2538.952,26.25771,8.254643424,2.76837039,5.21,19.483857355,8.61671,88.8600006103516,"Libreville",8.25553798675537,20.091,18923.6616611651
"72","United Kingdom","GBR","Europe","Europe & Central Asia",80.10062783,3.829413205,69226,9.51575,1.385501289,11.09679794,32.31,24.080673292,87.0162,NA,NA,13.8582963943481,4.361,52621.1790252979
"73","Georgia","GEO","Asia","Europe & Central Asia",72.63239027,37.688253393,3699.557,19.06419,2.143649373,8.29634285,40.99,46.092392332,45.5031,99.6800003051758,"Tbilisi",12.9356689453125,11.557,24883.9081161639
"74","Ghana","GHA","Africa","Sub-Saharan Africa",66.18136667,28.172604244,34427.414,46.04334,6.301813692,3.39035821,1.44,7.099097401,17.10768,76.4899978637695,"Accra",12.1200742721558,2.82,7055.62496009323
"75","Gibraltar","GIB","Europe","Europe & Central Asia",NA,NA,39.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Guinea","GIN","Africa","Sub-Saharan Africa",61.26251027,126.940910838,14754.785,37.57394,8.85449435,3.83292699,0.91,3,1.49014,39.6199989318848,"Conakry",6.99361658096313,5.132,4016.34191386072
"77","Guadeloupe","GLP","Americas","Latin America & Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Gambia","GMB","Africa","Sub-Saharan Africa",62.84614338,43.752163691,2759.988,39.10354,8.467177239,3.19523716,0.77,11.097734194,12.44923,51.6399993896484,"Banjul",9.52009296417236,6.48,3057.68417746891
"79","Guinea-Bissau","GNB","Africa","Sub-Saharan Africa",58.02773484,91.510747312,2201.352,35.89896,8.565679654,8.98898792,3.01,NA,2.89399,63.9300003051758,"Bissau",NA,2.647,2744.27981043716
"80","Equatorial Guinea","GNQ","Africa","Sub-Saharan Africa",61.15866176,61.2889924,1892.516,25.66867,2.649316828,3.49941635,1.7,19,13.94318,88.3099975585938,"Malabo",NA,8.293,15454.428493564
"81","Greece","GRC","Europe","Europe & Central Asia",79.59785025,3.354685386,10405.134,15.17234,1.053174656,9.03178692,65.76,42.706436371,56,93.9100036621094,"Athens",13.2888927459717,10.02,37474.2798239947
"82","Grenada","GRD","Americas","Latin America & Caribbean",72.62189848,16.584539927,117.207,11.13847,7.833307138,5.27963448,8.19,30.16591252,42.09026,97.7900009155273,"Saint George's",13.0994386672974,NA,17751.5098662481
"83","Greenland","GRL","Americas","Europe & Central Asia",NA,NA,56.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71037.5372239623
"84","Guatemala","GTM","Americas","Latin America & Caribbean",68.69573697,17.869858358,18406.359,20.74787,NA,6.80241346,3.63,5.931725056,16,82.1100006103516,"Guatemala City",9.71248054504395,2.613,12640.8875023146
"85","French Guiana","GUF","Americas","Latin America & Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Guam","GUM","Oceania","East Asia & Pacific",NA,NA,167.777,NA,NA,NA,NA,NA,NA,99.370002746582,"Agana",NA,5.252,NA
"87","Guyana","GUY","Americas","Latin America & Caribbean",66.0777533,26.156233643,831.087,11.10584,17.61113883,4.90331507,6.87,32.382980783,34.30804,85.6399993896484,"Georgetown",12.2039461135864,11.874,70516.7215064805
"88","Hong Kong SAR China","HKG","Asia","East Asia & Pacific",NA,NA,7524.1,NA,NA,NA,NA,NA,NA,NA,NA,13.5414037704468,2.988,66153.9746651078
"89","Honduras","HND","Americas","Latin America & Caribbean",71.43843431,13.693375054,10825.703,18.93138,64.08354794,8.15452766,NA,7.088198214,18.11987,88.25,"Tegucigalpa",9.59004306793213,4.91,6585.85535717861
"90","Croatia","HRV","Europe","Europe & Central Asia",77.86469683,4.843985296,3866.2,15.28803,0.782640649,6.37271595,39.09,55.969881089,63,98.1500015258789,"Zagreb",13.390284538269,5,40751.958615086
"91","Haiti","HTI","Americas","Latin America & Caribbean",63.2460029,46.263326675,11772.557,9.69133,20.94071266,3.19156528,1.4,48.99376991,10.8703,68.0100021362305,"Port-au-Prince",11.3780002593994,14.609,2809.64535578242
"92","Hungary","HUN","Europe","Europe & Central Asia",75.90176306,8.14471392,9562.065,17.25407,1.509173248,6.55460501,29.66,67.869823686,72,98.8600006103516,"Budapest",12.9565553665161,4.5,40686.9319263343
"93","Indonesia","IDN","Asia","East Asia & Pacific",69.70367312,23.165948239,283487.931,19.3398,5.738330289,3.70634937,4.21,14,15.36,96,"Jakarta",12.3883724212647,3.301,14470.4372020578
"94","Isle of Man","IMN","Europe","Europe & Central Asia",NA,NA,84.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","India","IND","Asia","South Asia",70.1869093,38.486621935,1450935.791,50.17359,3.691374033,3.59565973,9.39,15.947148815,12.58006,81.6999969482422,"New Delhi",11.1249532699585,4.173,9818.04270686639
"96","Ireland","IRL","Europe","Europe & Central Asia",79.58286978,3.907864297,5395.79,8.19503,0.752126246,6.57538509,33.17,29.684472291,79,NA,NA,13.9005393981934,4.3,119037.731175443
"97","Iran","IRN","Asia","Middle East & North Africa",74.71077692,13.936520351,91567.738,31.61622,3.379243996,7.71801233,18.11,19.338930305,25.99764,88.9233339833467,"Tehran",11.849552154541,8.146,17484.1320140467
"98","Iraq","IRQ","Asia","Middle East & North Africa",70.41410059,21.46628227,46042.015,38.51472,14.92205467,2.80868459,8.81,10.624942678,7.1,84.0588635813164,"Baghdad",6.93192768096924,15.293,12725.0431260393
"99","Iceland","ISL","Europe","Europe & Central Asia",82.27340584,2.040626164,386.506,5.88924,0.967145116,8.63996315,38.5,31.181733306,96,NA,NA,13.4602708816528,3.6,67310.0573573616
"100","Israel","ISR","Asia","Middle East & North Africa",81.74464677,51.834054199,9974.4,19.54361,1.107895143,7.12004995,36.87,30.540343344,73.36501,91.75,"",13.7629480361938,3.595,47338.8424624205
"101","Italy","ITA","Europe","Europe & Central Asia",81.93997914,2.339989561,58952.704,14.22481,0.740586463,9.5643034,39.7,31.416692621,58,99.3499984741211,"Rome",13.2506809234619,6.5,53265.0032474189
"102","Jamaica","JAM","Americas","Latin America & Caribbean",72.64037778,18.932634011,2839.175,15.7328,50.30835954,7.60493946,10.23,16.47307227,46.5,79.9199981689453,"Kingston",11.3946399688721,3.151,11340.2638800451
"103","Jordan","JOR","Asia","Middle East & North Africa",77.55988721,15.021424039,11552.876,25.87215,2.523367194,6.97644138,22.22,14.146068163,41,94.8499984741211,"Amman",11.1438150405884,16.693,9520.25064497454
"104","Japan","JPN","Asia","East Asia & Pacific",84.46067178,2.330376401,123975.371,10.83519,0.250519418,12.32275677,25.92,125.873870876,79.05,NA,NA,13.6398515701294,2.5,46106.9229230044
"105","Kazakhstan","KAZ","Asia","Europe & Central Asia",68.51597079,7.58492305,20592.571,26.50215,5.434722586,2.97468448,37.11,65.426154663,53.31567,99.7300033569336,"Astana",13.7080001831055,4.833,35973.9633287017
"106","Kenya","KEN","Africa","Sub-Saharan Africa",63.11575218,34.725511519,56432.944,12.58012,5.821305058,5.0180583,0.98,NA,32.09542,82.2300033569336,"Nairobi",11.6346340179443,5.487,5845.20117717825
"107","Kyrgyzstan","KGZ","Asia","Europe & Central Asia",70.72932374,35.680872047,7221.868,37.58464,4.336871804,5.35275602,17.87,40.413298454,21.72351,99.2399978637695,"Bishkek",12.8724975585938,3.491,7048.98952111264
"108","Cambodia","KHM","Asia","East Asia & Pacific",69.35586113,29.105069237,17638.801,17.4328,1.818493646,5.77632856,1.67,7.301596938,4.93986,71.9300003051758,"Phnom Penh",9.46578025817871,0.254,7008.88934551726
"109","Kiribati","KIR","Oceania","East Asia & Pacific",60.87345633,91.933015349,134.518,7.66936,4.453313608,8.7081337,2.4,18.6,10.7468,98.6322966077083,"Tarawa",11.2123680114746,NA,3257.1362912531
"110","St. Kitts & Nevis","KNA","Americas","Latin America & Caribbean",NA,16.491072054,46.843,8.96676,NA,5.73595428,30.85,44.030265464,79.3489,NA,NA,12.9526405334473,NA,30656.4410109367
"111","South Korea","KOR","Asia","East Asia & Pacific",83.09217588,2.929430413,51751.065,24.03774,1.066715339,8.34412766,26.63,127.474519417,84.1,97.9700012207031,"Seoul",13.5934190750122,2.784,55070.9386194121
"112","Kuwait","KWT","Asia","Middle East & North Africa",81.44722022,7.64500713,4897.263,64.07714,2.14528639,6.11295223,31.43,20.102280849,79.1782,96.4599990844727,"Kuwait City",12.0337619781494,2.151,46137.4674254845
"113","Laos","LAO","Asia","East Asia & Pacific",68.05389772,41.863700821,7769.819,21.15498,7.077986662,2.74392009,3.61,12.91174715,10.74768,75.6399993896484,"Vientiane",10.614652633667,1.174,8600.32454665553
"114","Lebanon","LBN","Asia","Middle East & North Africa",79.36847038,14.881082365,5805.962,24.234,4.767588401,7.92344952,24.12,27.3,61.24979,92.0144800114203,"Beirut",10.1555166244507,10.985,11330.2687387422
"115","Liberia","LBR","Africa","Sub-Saharan Africa",62.21305435,72.904850807,5612.817,35.79581,9.504241928,12.90504265,1.45,NA,3.7941,59.4035765513495,"Monrovia",4.15698862075806,2.914,1646.05861366601
"116","Libya","LBY","Africa","Middle East & North Africa",73.15169822,15.929002969,7381.023,28.41691,2.839251326,7.80515862,17.9,35,19.8637,60.1599998474121,"Tripoli",NA,19.085,12583.8338726816
"117","St. Lucia","LCA","Americas","Latin America & Caribbean",76.138896,15.927496748,179.744,8.97661,23.43421312,4.27262402,21.9,17.502426218,48.6281,NA,NA,12.6871833801269,10.199,24252.4688588491
"118","Liechtenstein","LIE","Europe","Europe & Central Asia",NA,NA,40.45,NA,NA,5.71460724,NA,NA,NA,NA,NA,NA,NA,NA
"119","Sri Lanka","LKA","Asia","South Asia",76.44590803,7.369716233,21916,23.87759,9.009492781,3.98300457,11.36,39.370763213,18.2854,92.6600036621094,"Colombo",13.2221622467041,4.239,13752.836740386
"120","Lesotho","LSO","Africa","Sub-Saharan Africa",51.85352687,76.068193886,2337.423,17.59755,38.94624372,10.52956581,0.69,NA,4.58962,90.4499969482422,"Maseru",10.0436792373657,16.34,2640.28544552536
"121","Lithuania","LTU","Europe","Europe & Central Asia",76.24761609,4.179942455,2888.278,10.36907,4.599052235,7.41619062,45.55,57.101312318,68,99.8199996948242,"Vilnius",13.8328495025635,6.851,47165.3665643051
"122","Luxembourg","LUX","Europe","Europe & Central Asia",82.82955161,7.744328029,677.012,8.89471,0.493555186,5.23040915,28.84,39.46768987,92,NA,NA,12.4221620559692,6.4,128475.279802738
