essround,idno,agea,eduyrs,eisced,gndr,iscoco,isco08,hinctnt,hinctnta,male,age,age_rec,years_schooling,educ_level,hincome,occup_cat,emplrel,emplno,isco_mainjob,emplrel_r1,emplno_r1,selfem_mainjob,class16_r1,class8_r1,class5_r1,emplrel_r2,emplno_r2,class16_r2,class8_r2,class5_r2,class5_r
10,30578,68,10,1,1,NA,7115,NA,99,male,68,>=65,10,Low education,NA,blue-collar,2,2,7115,2,1,3,NA,NA,NA,2,1,3,2,3,Small business owners
10,30602,38,15,2,1,NA,99999,NA,3,male,38,30-44,15,Low education,3,NA,1,66666,99999,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,30603,55,12,4,1,NA,1431,NA,7,male,55,45-64,12,Secondary education,7,managers,1,66666,1431,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,30617,31,28,6,1,NA,2341,NA,5,male,31,30-44,28,High education,5,professionals,1,66666,2341,1,66666,1,NA,NA,NA,1,66666,13,7,1,Higher-grade service class
10,30619,79,10,1,2,NA,66666,NA,2,female,79,>=65,10,Low education,2,NA,6,66666,66666,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
10,30645,53,14,5,1,NA,7231,NA,9,male,53,45-64,14,High education,9,blue-collar,1,66666,7231,1,66666,1,NA,NA,NA,1,66666,7,4,4,Skilled workers
10,30666,28,20,6,2,NA,2411,NA,5,female,28,20-29,20,High education,5,professionals,1,66666,2411,1,66666,1,NA,NA,NA,1,66666,9,5,1,Higher-grade service class
10,30680,43,30,7,1,NA,2330,NA,10,male,43,30-44,30,High education,10,professionals,1,66666,2330,1,66666,1,NA,NA,NA,1,66666,14,7,2,Lower-grade service class
10,30715,66,8,2,2,NA,9111,NA,77,female,66,>=65,8,Low education,NA,blue-collar,1,66666,9111,1,66666,1,NA,NA,NA,1,66666,16,8,5,Unskilled workers
10,30740,45,27,7,2,NA,2330,NA,4,female,45,45-64,27,High education,4,professionals,1,66666,2330,1,66666,1,NA,NA,NA,1,66666,14,7,2,Lower-grade service class
10,30762,24,5,6,2,NA,9333,NA,99,female,24,20-29,5,High education,NA,blue-collar,1,66666,9333,1,66666,1,NA,NA,NA,1,66666,8,4,5,Unskilled workers
10,30826,21,17,4,2,NA,5132,NA,99,female,21,20-29,17,Secondary education,NA,service,1,66666,5132,1,66666,1,NA,NA,NA,1,66666,15,8,4,Skilled workers
10,30849,46,99,99,2,NA,99999,NA,99,female,46,45-64,NA,NA,NA,NA,9,99999,99999,9,99999,1,NA,NA,NA,9,99999,NA,NA,NA,NA
10,30889,43,5,6,1,NA,1321,NA,10,male,43,30-44,5,High education,10,managers,3,66666,1321,3,66666,2,NA,NA,NA,3,66666,4,2,3,Small business owners
10,30896,28,3,2,2,NA,5223,NA,4,female,28,20-29,3,Low education,4,service,1,66666,5223,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,30901,34,10,4,2,NA,9333,NA,3,female,34,30-44,10,Secondary education,3,blue-collar,1,66666,9333,1,66666,1,NA,NA,NA,1,66666,8,4,5,Unskilled workers
10,30903,74,10,6,2,NA,2221,NA,7,female,74,>=65,10,High education,7,professionals,1,66666,2221,1,66666,1,NA,NA,NA,1,66666,13,7,1,Higher-grade service class
10,30932,55,20,5,2,NA,3341,NA,10,female,55,45-64,20,High education,10,technicians,1,66666,3341,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,30933,67,7,2,1,NA,7112,NA,5,male,67,>=65,7,Low education,5,blue-collar,9,99999,7112,9,99999,1,NA,NA,NA,9,99999,7,4,4,Skilled workers
10,30955,41,6,1,1,NA,8344,NA,3,male,41,30-44,6,Low education,3,blue-collar,1,66666,8344,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,30968,80,99,1,2,NA,99999,NA,77,female,80,>=65,NA,Low education,NA,NA,1,66666,99999,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,30978,71,20,7,1,NA,2359,NA,6,male,71,>=65,20,High education,6,professionals,1,66666,2359,1,66666,1,NA,NA,NA,1,66666,13,7,1,Higher-grade service class
10,30993,73,9,1,1,NA,7233,NA,99,male,73,>=65,9,Low education,NA,blue-collar,1,66666,7233,1,66666,1,NA,NA,NA,1,66666,7,4,4,Skilled workers
10,30996,42,28,7,2,NA,3512,NA,6,female,42,30-44,28,High education,6,technicians,1,66666,3512,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,30999,16,13,2,1,NA,66666,NA,6,male,16,<20,13,Low education,6,NA,6,66666,66666,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
10,31029,38,12,2,2,NA,66666,NA,1,female,38,30-44,12,Low education,1,NA,6,66666,66666,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
10,31051,56,20,3,2,NA,5120,NA,2,female,56,45-64,20,Secondary education,2,service,1,66666,5120,1,66666,1,NA,NA,NA,1,66666,16,8,5,Unskilled workers
10,31062,77,99,1,2,NA,66666,NA,2,female,77,>=65,NA,Low education,2,NA,6,66666,66666,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
10,31075,66,9,1,2,NA,66666,NA,77,female,66,>=65,9,Low education,NA,NA,6,66666,66666,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
10,31091,27,21,7,2,NA,2266,NA,10,female,27,20-29,21,High education,10,professionals,1,66666,2266,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,31096,38,3,2,2,NA,99999,NA,77,female,38,30-44,3,Low education,NA,NA,1,66666,99999,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,31100,18,12,2,2,NA,66666,NA,2,female,18,<20,12,Low education,2,NA,6,66666,66666,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
10,31109,35,17,2,1,NA,8160,NA,6,male,35,30-44,17,Low education,6,blue-collar,1,66666,8160,1,66666,1,NA,NA,NA,1,66666,8,4,5,Unskilled workers
10,31158,35,11,7,2,NA,5221,NA,9,female,35,30-44,11,High education,9,service,2,4,5221,2,1,3,NA,NA,NA,2,1,3,2,3,Small business owners
10,31168,64,8,1,2,NA,9112,NA,4,female,64,45-64,8,Low education,4,blue-collar,1,66666,9112,1,66666,1,NA,NA,NA,1,66666,16,8,5,Unskilled workers
10,31201,56,3,2,1,NA,3122,NA,8,male,56,45-64,3,Low education,8,technicians,1,66666,3122,1,66666,1,NA,NA,NA,1,66666,6,3,2,Lower-grade service class
10,31266,47,8,2,1,NA,7112,NA,6,male,47,45-64,8,Low education,6,blue-collar,2,0,7112,2,0,2,NA,NA,NA,2,0,4,2,3,Small business owners
10,31276,42,3,2,1,NA,66666,NA,2,male,42,30-44,3,Low education,2,NA,6,66666,66666,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
10,31314,62,12,1,2,NA,4212,NA,5,female,62,45-64,12,Low education,5,clerical,1,66666,4212,1,66666,1,NA,NA,NA,1,66666,11,6,4,Skilled workers
10,31345,25,5,6,1,NA,2521,NA,10,male,25,20-29,5,High education,10,professionals,1,66666,2521,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,31355,62,20,6,1,NA,1221,NA,6,male,62,45-64,20,High education,6,managers,1,66666,1221,1,66666,1,NA,NA,NA,1,66666,9,5,1,Higher-grade service class
10,31383,47,18,7,1,NA,4110,NA,99,male,47,45-64,18,High education,NA,clerical,1,66666,4110,1,66666,1,NA,NA,NA,1,66666,11,6,4,Skilled workers
10,31420,42,14,2,2,NA,7511,NA,2,female,42,30-44,14,Low education,2,blue-collar,1,66666,7511,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,31487,70,99,4,1,NA,66666,NA,10,male,70,>=65,NA,Secondary education,10,NA,6,66666,66666,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
10,31494,61,21,6,2,NA,2635,NA,9,female,61,45-64,21,High education,9,professionals,1,66666,2635,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,31528,60,16,6,1,NA,5223,NA,1,male,60,45-64,16,High education,1,service,1,66666,5223,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,31536,64,99,99,2,NA,99999,NA,99,female,64,45-64,NA,NA,NA,NA,9,99999,99999,9,99999,1,NA,NA,NA,9,99999,NA,NA,NA,NA
10,31544,58,14,6,1,NA,5412,NA,99,male,58,45-64,14,High education,NA,service,1,66666,5412,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,31562,65,16,3,2,NA,4211,NA,8,female,65,>=65,16,Secondary education,8,clerical,1,66666,4211,1,66666,1,NA,NA,NA,1,66666,12,6,5,Unskilled workers
10,31581,25,9,1,1,NA,7512,NA,99,male,25,20-29,9,Low education,NA,blue-collar,3,66666,7512,3,66666,2,NA,NA,NA,3,66666,4,2,3,Small business owners
10,31592,65,18,7,2,NA,2310,NA,9,female,65,>=65,18,High education,9,professionals,1,66666,2310,1,66666,1,NA,NA,NA,1,66666,13,7,1,Higher-grade service class
10,31598,63,9,1,2,NA,99999,NA,99,female,63,45-64,9,Low education,NA,NA,2,0,99999,2,0,2,NA,NA,NA,2,0,NA,NA,NA,NA
10,31643,64,12,3,1,NA,5221,NA,3,male,64,45-64,12,Secondary education,3,service,2,0,5221,2,0,2,NA,NA,NA,2,0,4,2,3,Small business owners
10,31680,33,19,7,2,NA,1222,NA,10,female,33,30-44,19,High education,10,managers,2,0,1222,2,0,2,NA,NA,NA,2,0,4,2,3,Small business owners
10,31764,79,0,1,1,NA,9211,NA,1,male,79,>=65,0,Low education,1,blue-collar,1,66666,9211,1,66666,1,NA,NA,NA,1,66666,8,4,5,Unskilled workers
10,31798,59,15,7,1,NA,2411,NA,10,male,59,45-64,15,High education,10,professionals,1,66666,2411,1,66666,1,NA,NA,NA,1,66666,9,5,1,Higher-grade service class
10,31806,58,2,5,1,NA,3123,NA,9,male,58,45-64,2,High education,9,technicians,1,66666,3123,1,66666,1,NA,NA,NA,1,66666,6,3,2,Lower-grade service class
10,31860,39,19,2,1,NA,3131,NA,3,male,39,30-44,19,Low education,3,technicians,1,66666,3131,1,66666,1,NA,NA,NA,1,66666,6,3,2,Lower-grade service class
10,31968,36,16,3,2,NA,9411,NA,3,female,36,30-44,16,Secondary education,3,blue-collar,1,66666,9411,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,31984,37,20,7,2,NA,2261,NA,5,female,37,30-44,20,High education,5,professionals,1,66666,2261,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,32008,64,9,1,2,NA,66666,NA,99,female,64,45-64,9,Low education,NA,NA,6,66666,66666,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
10,32011,66,13,2,2,NA,66666,NA,5,female,66,>=65,13,Low education,5,NA,6,66666,66666,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
10,32042,56,10,2,1,NA,9331,NA,5,male,56,45-64,10,Low education,5,blue-collar,1,66666,9331,1,66666,1,NA,NA,NA,1,66666,8,4,5,Unskilled workers
10,32067,74,99,1,2,NA,8160,NA,3,female,74,>=65,NA,Low education,3,blue-collar,1,66666,8160,1,66666,1,NA,NA,NA,1,66666,8,4,5,Unskilled workers
10,32074,59,15,4,2,NA,5321,NA,6,female,59,45-64,15,Secondary education,6,service,1,66666,5321,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,32103,71,1,1,2,NA,9211,NA,7,female,71,>=65,1,Low education,7,blue-collar,1,66666,9211,1,66666,1,NA,NA,NA,1,66666,8,4,5,Unskilled workers
